geos_chem run at 20210315, 14:53:27
temp_res: 0030  nstep: 0015
step,  mem_st,  mem_end,  year_st,  year_end, doy_st,  doy_end,  ch4flnm, output_name, index_method
000, 0038, 0082, 2018, 2018, 001, 091,CH4_EMISSION.2018D001,ST000.EN0038-EN0082,0
001, 0038, 0082, 2018, 2018, 032, 121,CH4_EMISSION.2018D032,ST001.EN0038-EN0082,0
002, 0038, 0082, 2018, 2018, 060, 152,CH4_EMISSION.2018D060,ST002.EN0038-EN0082,0
003, 0038, 0082, 2018, 2018, 091, 182,CH4_EMISSION.2018D091,ST003.EN0038-EN0082,0
004, 0038, 0082, 2018, 2018, 121, 213,CH4_EMISSION.2018D121,ST004.EN0038-EN0082,0
005, 0038, 0082, 2018, 2018, 152, 244,CH4_EMISSION.2018D152,ST005.EN0038-EN0082,0
006, 0038, 0082, 2018, 2018, 182, 274,CH4_EMISSION.2018D182,ST006.EN0038-EN0082,0
007, 0038, 0082, 2018, 2018, 213, 305,CH4_EMISSION.2018D213,ST007.EN0038-EN0082,0
008, 0038, 0082, 2018, 2018, 244, 335,CH4_EMISSION.2018D244,ST008.EN0038-EN0082,0
009, 0038, 0082, 2018, 2019, 274, 001,CH4_EMISSION.2018D274,ST009.EN0038-EN0082,0
010, 0038, 0082, 2018, 2019, 305, 032,CH4_EMISSION.2018D305,ST010.EN0038-EN0082,0
011, 0038, 0082, 2018, 2019, 335, 060,CH4_EMISSION.2018D335,ST011.EN0038-EN0082,0
012, 0038, 0082, 2019, 2019, 001, 091,CH4_EMISSION.2019D001,ST000.EN0038-EN0082,0
013, 0038, 0082, 2019, 2019, 032, 121,CH4_EMISSION.2019D032,ST001.EN0038-EN0082,0
014, 0038, 0082, 2019, 2019, 060, 152,CH4_EMISSION.2019D060,ST002.EN0038-EN0082,0
015, 0038, 0082, 2019, 2019, 091, 182,CH4_EMISSION.2019D091,ST003.EN0038-EN0082,0
016, 0038, 0082, 2019, 2019, 121, 213,CH4_EMISSION.2019D121,ST004.EN0038-EN0082,0
017, 0038, 0082, 2019, 2019, 152, 244,CH4_EMISSION.2019D152,ST005.EN0038-EN0082,0
018, 0038, 0082, 2019, 2019, 182, 274,CH4_EMISSION.2019D182,ST006.EN0038-EN0082,0
019, 0038, 0082, 2019, 2019, 213, 305,CH4_EMISSION.2019D213,ST007.EN0038-EN0082,0
020, 0038, 0082, 2019, 2019, 244, 335,CH4_EMISSION.2019D244,ST008.EN0038-EN0082,0
021, 0038, 0082, 2019, 2020, 274, 001,CH4_EMISSION.2019D274,ST009.EN0038-EN0082,0
022, 0038, 0082, 2019, 2020, 305, 032,CH4_EMISSION.2019D305,ST010.EN0038-EN0082,0
023, 0038, 0082, 2019, 2020, 335, 061,CH4_EMISSION.2019D335,ST011.EN0038-EN0082,0
